epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,102.496,0.8239,0.93958,0.65462,1.02962,0,0.96934,0.97422,0.99203,0.80814,0.96934,0.97422,0.99203,0.71958,0.7657,0.8122,0.5342,1.00327,0,0.000903722,0.000903722,0.000903722
39,105.084,0.82289,0.92423,0.6999,1.02555,0,0.95961,0.98343,0.99197,0.76958,0.96354,0.98738,0.99229,0.70697,0.8392,0.81084,0.58159,1.06414,0,0.000883093,0.000883093,0.000883093
40,107.672,0.79004,0.90117,0.64812,1.00407,0,0.96873,0.97579,0.9922,0.80067,0.97268,0.97979,0.99228,0.72796,0.76842,0.79936,0.55414,0.98983,0,0.000862464,0.000862464,0.000862464
41,110.272,0.80659,0.91243,0.65201,1.00324,0,0.97018,0.97559,0.992,0.79381,0.97413,0.97959,0.99257,0.71022,0.79377,0.89068,0.55796,1.00038,0,0.000841835,0.000841835,0.000841835
42,112.848,0.75923,0.93007,0.608,1.01369,0,0.98153,0.96921,0.99258,0.80223,0.98554,0.97321,0.99298,0.71161,0.76503,0.85565,0.51738,1.00206,0,0.000821206,0.000821206,0.000821206
43,115.398,0.80175,0.90977,0.64628,0.99122,0,0.97442,0.99235,0.99316,0.78593,0.97442,0.99235,0.99316,0.704,0.80663,0.82061,0.53968,1.01803,0,0.000800577,0.000800577,0.000800577
44,117.976,0.79372,0.90374,0.636,0.99355,0,0.96702,0.98079,0.99114,0.78718,0.97025,0.98212,0.99118,0.71377,0.77521,0.85603,0.5215,0.97948,0,0.000779948,0.000779948,0.000779948
45,120.614,0.79728,0.94873,0.63501,1.01331,0,0.96877,0.97677,0.98889,0.78866,0.96877,0.97677,0.98889,0.69648,0.75925,0.87395,0.52431,0.97621,0,0.000759318,0.000759318,0.000759318
46,123.125,0.76657,0.88324,0.58938,1.00063,0,0.97266,0.97194,0.98655,0.80538,0.97266,0.97194,0.98655,0.72414,0.74007,0.80396,0.54377,0.96076,0,0.000738689,0.000738689,0.000738689
47,125.739,0.75954,0.87046,0.6043,0.99913,0,0.92006,0.93078,0.97121,0.75021,0.92703,0.93878,0.97433,0.69578,0.84865,0.84024,0.65884,1.05744,0,0.00071806,0.00071806,0.00071806
48,128.353,0.74921,0.82028,0.60702,0.99461,0,0.92952,0.98463,0.98588,0.76176,0.9618,0.95945,0.98616,0.69318,0.8035,0.83546,0.5687,1.02222,0,0.000697431,0.000697431,0.000697431
49,130.935,0.78028,0.90251,0.59935,1.02151,0,0.96312,0.98013,0.99291,0.80911,0.96312,0.98013,0.99291,0.72266,0.73158,0.78291,0.52544,0.96944,0,0.000676802,0.000676802,0.000676802
50,133.534,0.78582,0.87393,0.60872,0.99013,0,0.96259,0.97455,0.99252,0.82395,0.96259,0.97455,0.99252,0.74144,0.69153,0.77579,0.49972,0.93876,0,0.000656173,0.000656173,0.000656173
51,136.092,0.75855,0.85452,0.60775,0.97615,0,0.95923,0.98374,0.99235,0.79392,0.96318,0.98774,0.99259,0.73523,0.73795,0.76102,0.50282,0.97984,0,0.000635544,0.000635544,0.000635544
52,138.647,0.75091,0.88873,0.58211,0.98987,0,0.9651,0.98719,0.99245,0.77858,0.96905,0.99119,0.99297,0.72461,0.77512,0.76784,0.5006,1.04226,0,0.000614915,0.000614915,0.000614915
53,141.24,0.72158,0.89845,0.57423,0.9655,0,0.96751,0.9858,0.99255,0.83011,0.97147,0.9898,0.99291,0.74508,0.66456,0.74711,0.47325,0.92283,0,0.000594286,0.000594286,0.000594286
54,143.726,0.75824,0.89617,0.58051,0.98474,0,0.97869,0.99235,0.99308,0.82426,0.97869,0.99235,0.99308,0.74532,0.67775,0.74635,0.46843,0.93493,0,0.000573656,0.000573656,0.000573656
55,146.222,0.73929,0.88828,0.57045,0.98794,0,0.96714,0.98392,0.99173,0.82069,0.97112,0.98792,0.99225,0.7356,0.68532,0.77074,0.46631,0.95788,0,0.000553027,0.000553027,0.000553027
56,148.759,0.71962,0.83104,0.56299,0.9686,0,0.96705,0.98386,0.99244,0.81035,0.97102,0.98786,0.9928,0.69934,0.7077,0.85937,0.4693,0.96469,0,0.000532398,0.000532398,0.000532398
57,151.255,0.72382,0.88103,0.57427,0.98471,0,0.96338,0.98226,0.98996,0.83286,0.9673,0.98626,0.99033,0.75101,0.66033,0.74536,0.47867,0.92651,0,0.000511769,0.000511769,0.000511769
58,153.754,0.70064,0.85216,0.56255,0.9726,0,0.98151,0.96807,0.98996,0.8333,0.98551,0.97207,0.9904,0.73988,0.65768,0.75173,0.47394,0.9272,0,0.00049114,0.00049114,0.00049114
59,156.259,0.70608,0.8534,0.54326,0.98037,0,0.97148,0.98468,0.99305,0.83122,0.97544,0.98868,0.99333,0.73521,0.66768,0.74737,0.46585,0.96261,0,0.000470511,0.000470511,0.000470511
60,158.883,0.66958,0.78588,0.50749,0.9548,0,0.97197,0.9789,0.993,0.81362,0.97596,0.9829,0.99324,0.74218,0.68835,0.7348,0.4735,0.97666,0,0.000449882,0.000449882,0.000449882
61,161.373,0.68935,0.84033,0.53739,0.98076,0,0.98806,0.96778,0.99346,0.83435,0.99209,0.97178,0.99378,0.74612,0.6427,0.73102,0.45106,0.93499,0,0.000429253,0.000429253,0.000429253
62,163.917,0.66616,0.82096,0.50847,0.9504,0,0.965,0.9909,0.99363,0.84169,0.96893,0.9949,0.99386,0.7535,0.62403,0.71614,0.4408,0.9183,0,0.000408623,0.000408623,0.000408623
63,166.451,0.67929,0.82086,0.5224,0.96686,0,0.97465,0.98981,0.9938,0.85203,0.97866,0.99381,0.99392,0.75138,0.61104,0.72207,0.42592,0.90273,0,0.000387994,0.000387994,0.000387994
64,168.974,0.65572,0.80217,0.52035,0.96268,0,0.96721,0.98945,0.99361,0.85594,0.97122,0.99345,0.99377,0.75631,0.60135,0.71576,0.42442,0.89886,0,0.000367365,0.000367365,0.000367365
65,171.468,0.70791,0.85076,0.54824,0.97863,0,0.98325,0.9731,0.99326,0.84165,0.98325,0.9731,0.99349,0.75112,0.65999,0.75439,0.44228,0.92392,0,0.000346736,0.000346736,0.000346736
66,173.997,0.67124,0.80434,0.50518,0.96584,0,0.97957,0.98449,0.9929,0.8427,0.97957,0.98449,0.99318,0.75532,0.65928,0.7257,0.44609,0.93229,0,0.000326107,0.000326107,0.000326107
67,176.607,0.68431,0.84624,0.51428,0.95049,0,0.98063,0.98145,0.9925,0.84226,0.98063,0.98145,0.99275,0.7584,0.62641,0.71202,0.43427,0.92888,0,0.000305478,0.000305478,0.000305478
68,179.14,0.67845,0.81596,0.51066,0.95886,0,0.98212,0.98751,0.99275,0.85917,0.98212,0.98751,0.99278,0.75304,0.60027,0.72257,0.41061,0.89953,0,0.000284849,0.000284849,0.000284849
69,181.61,0.65766,0.80328,0.4986,0.945,0,0.98283,0.98417,0.99328,0.86263,0.98283,0.98417,0.99328,0.74604,0.60311,0.75766,0.40877,0.89705,0,0.00026422,0.00026422,0.00026422
70,184.141,0.64569,0.7758,0.47824,0.96435,0,0.98064,0.98147,0.99322,0.86284,0.98064,0.98147,0.99322,0.75641,0.5905,0.72879,0.40703,0.89336,0,0.00024359,0.00024359,0.00024359
71,198.464,0.68909,0.76205,0.58008,1.00464,0,0.97941,0.9818,0.99355,0.86919,0.97941,0.9818,0.99367,0.77029,0.58831,0.69691,0.40813,0.88583,0,0.000222961,0.000222961,0.000222961
72,201.023,0.65297,0.73105,0.54435,0.9634,0,0.9884,0.96956,0.99347,0.85972,0.9884,0.96956,0.99358,0.76084,0.61541,0.69792,0.45307,0.89842,0,0.000202332,0.000202332,0.000202332
73,203.519,0.66608,0.73924,0.52622,1.00252,0,0.98866,0.96987,0.99368,0.85166,0.9655,0.99711,0.99383,0.75498,0.6235,0.69917,0.45949,0.89953,0,0.000181703,0.000181703,0.000181703
74,206.124,0.66066,0.71869,0.54113,0.99759,0,0.97115,0.99504,0.99389,0.85705,0.97513,0.99904,0.99397,0.75623,0.59982,0.68128,0.43342,0.89064,0,0.000161074,0.000161074,0.000161074
75,208.623,0.63229,0.68618,0.50568,0.993,0,0.97726,0.98945,0.9938,0.86557,0.98127,0.99345,0.99392,0.76258,0.57609,0.66989,0.40355,0.88245,0,0.000140445,0.000140445,0.000140445
76,211.143,0.63635,0.73967,0.5039,0.97308,0,0.97234,0.996,0.99364,0.87121,0.97631,1,0.9938,0.77039,0.56547,0.66333,0.38571,0.87929,0,0.000119816,0.000119816,0.000119816
77,213.659,0.63011,0.67326,0.48175,0.98365,0,0.97458,0.99543,0.9936,0.86848,0.97854,0.99943,0.9938,0.77124,0.56461,0.66317,0.38129,0.88054,0,9.91865e-05,9.91865e-05,9.91865e-05
78,216.152,0.61119,0.66644,0.49235,0.97053,0,0.97443,0.99411,0.99348,0.87073,0.97839,0.99811,0.99372,0.76551,0.55768,0.66674,0.37745,0.878,0,7.85574e-05,7.85574e-05,7.85574e-05
79,218.621,0.59934,0.68703,0.48464,0.96159,0,0.97852,0.9956,0.99369,0.87781,0.98251,0.9996,0.99385,0.76759,0.55042,0.66825,0.37395,0.87478,0,5.79283e-05,5.79283e-05,5.79283e-05
80,221.159,0.58305,0.69502,0.48289,0.98172,0,0.97834,0.996,0.99374,0.88082,0.98234,1,0.9939,0.76527,0.54431,0.66822,0.37094,0.8722,0,3.72991e-05,3.72991e-05,3.72991e-05
