epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
55,2226.86,0.45676,0.48249,0.28716,0.86672,0,0.99405,0.99306,0.99471,0.93241,0.99405,0.99306,0.99471,0.85776,0.25572,0.32096,0.21293,0.56979,0,0.000553027,0.000553027,0.000553027
56,2266.3,0.444,0.47352,0.28629,0.8599,0,0.99144,0.99625,0.99488,0.93691,0.99144,0.99625,0.99488,0.8655,0.24689,0.31443,0.20483,0.56796,0,0.000532398,0.000532398,0.000532398
57,2305.27,0.45112,0.50498,0.28407,0.86092,0,0.99452,0.99302,0.99493,0.94359,0.99452,0.99302,0.99493,0.86975,0.24057,0.32255,0.25005,0.56773,0,0.000511769,0.000511769,0.000511769
58,2344.54,0.45168,0.48165,0.27928,0.8634,0,0.99564,0.99282,0.99462,0.93759,0.99564,0.99282,0.99462,0.86355,0.24424,0.32003,0.16008,0.56926,0,0.00049114,0.00049114,0.00049114
59,2383.63,0.43627,0.4591,0.27694,0.85839,0,0.99163,0.99337,0.99485,0.94144,0.99163,0.99337,0.99485,0.86953,0.24808,0.31844,0.15535,0.56771,0,0.000470511,0.000470511,0.000470511
60,2422.71,0.45105,0.47654,0.27812,0.8566,0,0.99247,0.99369,0.99484,0.94118,0.99247,0.99369,0.99484,0.86742,0.252,0.32207,0.18385,0.57089,0,0.000449882,0.000449882,0.000449882
61,2462.51,0.44805,0.47866,0.27802,0.85704,0,0.99638,0.99391,0.99487,0.93893,0.99638,0.99391,0.99487,0.86145,0.2479,0.31354,0.17606,0.56786,0,0.000429253,0.000429253,0.000429253
62,2501.94,0.43676,0.48244,0.27201,0.85911,0,0.99714,0.99376,0.99488,0.9443,0.99714,0.99376,0.99488,0.86309,0.2439,0.32394,0.14407,0.56803,0,0.000408623,0.000408623,0.000408623
63,2541.78,0.43279,0.49085,0.26549,0.85673,0,0.99811,0.99313,0.99477,0.94207,0.99811,0.99313,0.99477,0.87162,0.23869,0.313,0.15294,0.56514,0,0.000387994,0.000387994,0.000387994
64,2580.7,0.44273,0.47501,0.26923,0.8573,0,0.99732,0.99376,0.99478,0.94421,0.99732,0.99376,0.99478,0.87578,0.24056,0.3166,0.14652,0.56621,0,0.000367365,0.000367365,0.000367365
65,2619.6,0.42598,0.46191,0.26394,0.85612,0,0.99425,0.99255,0.99484,0.94089,0.99425,0.99255,0.99484,0.86598,0.2472,0.31487,0.14909,0.56819,0,0.000346736,0.000346736,0.000346736
66,2658.56,0.43694,0.45286,0.26218,0.85978,0,0.9962,0.9945,0.99489,0.94633,0.9962,0.9945,0.99489,0.88036,0.23881,0.30706,0.13365,0.56633,0,0.000326107,0.000326107,0.000326107
67,2697.61,0.42678,0.46585,0.26155,0.84795,0,0.99701,0.99356,0.99491,0.94514,0.99701,0.99356,0.99491,0.87253,0.24146,0.3116,0.19293,0.5658,0,0.000305478,0.000305478,0.000305478
68,2737,0.43786,0.46277,0.26393,0.85568,0,0.99684,0.99472,0.99484,0.94557,0.99684,0.99472,0.99484,0.87218,0.23537,0.31001,0.13284,0.56399,0,0.000284849,0.000284849,0.000284849
69,2778.56,0.42533,0.45995,0.25468,0.85563,0,0.99187,0.9969,0.99491,0.94781,0.99187,0.9969,0.99491,0.87569,0.23429,0.30919,0.15098,0.56494,0,0.00026422,0.00026422,0.00026422
70,2819.99,0.42916,0.45531,0.2621,0.85658,0,0.99513,0.9945,0.99489,0.94842,0.99513,0.9945,0.99489,0.87315,0.23682,0.3071,0.13964,0.56409,0,0.00024359,0.00024359,0.00024359
71,2875.24,0.36953,0.41449,0.22555,0.8346,0,0.99575,0.99427,0.99479,0.94409,0.99575,0.99427,0.99479,0.87287,0.23934,0.30944,0.14922,0.56734,0,0.000222961,0.000222961,0.000222961
72,2915.83,0.36847,0.41161,0.2199,0.8277,0,0.99615,0.99502,0.99488,0.94573,0.99615,0.99502,0.99488,0.87713,0.23795,0.30846,0.13041,0.56378,0,0.000202332,0.000202332,0.000202332
73,2956.29,0.36677,0.4087,0.21323,0.83143,0,0.99697,0.99357,0.99486,0.94957,0.99697,0.99357,0.99486,0.87635,0.23606,0.31004,0.13239,0.56624,0,0.000181703,0.000181703,0.000181703
74,2996.97,0.3637,0.40167,0.21309,0.83395,0,0.99613,0.99112,0.99489,0.94958,0.99613,0.99112,0.99489,0.87536,0.23675,0.30621,0.12854,0.56772,0,0.000161074,0.000161074,0.000161074
75,3038.63,0.36042,0.40665,0.20821,0.82915,0,0.99616,0.9935,0.99492,0.9502,0.99616,0.9935,0.99492,0.87725,0.23305,0.30466,0.1263,0.56419,0,0.000140445,0.000140445,0.000140445
76,3080.29,0.35877,0.40752,0.2035,0.82557,0,0.99651,0.99505,0.99492,0.95035,0.99651,0.99505,0.99492,0.87557,0.23432,0.3047,0.12539,0.5647,0,0.000119816,0.000119816,0.000119816
77,3121.53,0.35325,0.39262,0.1969,0.82639,0,0.99798,0.99322,0.99488,0.95051,0.99798,0.99322,0.99488,0.87532,0.23476,0.3025,0.12254,0.56476,0,9.91865e-05,9.91865e-05,9.91865e-05
78,3161.42,0.34871,0.40218,0.19412,0.83186,0,0.99665,0.99505,0.9949,0.94968,0.99665,0.99505,0.9949,0.8849,0.22931,0.30132,0.12063,0.56303,0,7.85574e-05,7.85574e-05,7.85574e-05
79,3200.43,0.3495,0.38222,0.19612,0.82266,0,0.99653,0.99505,0.99488,0.95298,0.99653,0.99505,0.99488,0.88072,0.2293,0.30114,0.11867,0.56188,0,5.79283e-05,5.79283e-05,5.79283e-05
80,3240.89,0.34905,0.41554,0.19357,0.82713,0,0.99655,0.99505,0.9949,0.95234,0.99655,0.99505,0.9949,0.88076,0.22753,0.30122,0.11766,0.56204,0,3.72991e-05,3.72991e-05,3.72991e-05
